Fecha,J,Tmin,Tmax,Uz,Rs,lluvia,fc,pe_prevista_0_24h,pe_prevista_24_48h,ETo,ETc,Pe,Ks,RAW,DND,De_end,RSWC,fase,prioridad,pct_dnd,decision,plan_pulsos,deuda_mm,dias_sin_riego,riego_neto_programado_mm,riego_bruto_programado_mm,riego_neto_aplicado_mm,riego_bruto_aplicado_mm,perdidas_sistema_mm,eficiencia_riego
,273,6.8,25.34,0.69,20.04,0.0,0.3046,0.0,0.0,2.7320533140622865,1.3360468286513838,0.0,0.7351351680041532,49.071786743750856,1.3360468286513838,4.9239387149977105,0.5204934700767377,PostCosecha,0.5,45.0,POSPONER_DEUDA,null,3.59634596140104,7,0.0,0.0,0.0,0.0,0.0,0.9
,274,7.15,28.42,0.48,20.42,0.0,0.2988,0.0,0.0,2.716585019530135,1.367751456222176,0.0,0.7097635435178854,49.13365992187946,1.367751456222176,5.597835582039707,0.4949427699197374,PostCosecha,0.5,45.0,REGAR_COMPLETO,"{""num_pulsos"": 2, ""mm_por_pulso"": 2.11, ""horas_por_pulso"": 2.34, ""descanso_entre_pulsos_h"": 0.5, ""horas_totales_aprox"": 5.18}",0.0,0,4.22,4.69,0.0,0.0,0.0,0.9
,275,9.29,27.09,1.0,15.44,0.0,0.2929,0.0,0.0,2.739242233923059,1.4905790838570365,0.0,0.8472898452397712,49.04303106430776,1.4905790838570365,2.0537880550309455,0.4688435424768632,PostCosecha,0.219,25.91,POSPONER_DEUDA,null,0.38620904062735817,1,0.0,0.0,4.22,4.69,0.47,0.9
,276,12.31,26.49,2.46,14.46,0.0,0.287,0.0,0.0,3.2784391154217576,1.6223218935584698,0.0,0.7848200921285289,46.886243538312975,1.6223218935584698,2.845796290468314,0.6304625176114652,PostCosecha,0.401,39.66,POSPONER_DEUDA,null,1.029621903612647,2,0.0,0.0,0.0,0.0,0.0,0.9
,277,12.04,23.75,2.08,19.65,0.81,0.2811,0.0,0.0,3.50858420401831,1.890879057630435,0.0,0.7564157118300552,45.965663183926765,1.890879057630435,2.923781982390734,0.5993423894880223,PostCosecha,0.482,44.01,POSPONER_DEUDA,null,1.8617977768758016,3,0.0,0.0,0.0,0.0,0.0,0.9
,278,5.2,24.15,1.23,17.31,0.0,0.2752,0.0,0.0,2.7489814976190727,1.3498708871928335,0.0,0.7644050290535862,49.00407400952371,1.3498708871928335,3.5915286415126446,0.5815307814573921,PostCosecha,0.459,42.8,POSPONER_DEUDA,null,2.4395425165943343,4,0.0,0.0,0.0,0.0,0.0,0.9
,279,7.01,25.61,1.55,17.52,0.0,0.2694,0.0,1.155,2.9592679155773554,1.3642522991003134,0.0,0.7259605952728537,48.16292833769058,1.3642522991003134,4.300211521396174,0.5556036251235053,PostCosecha,0.5,45.0,POSPONER_DEUDA,null,3.0534560511894755,5,0.0,0.0,0.0,0.0,0.0,0.9
,280,13.36,26.95,1.67,15.35,0.0,0.2635,0.5699999999999998,0.0,3.028391694734761,1.4253580628485802,0.0,0.6959304715394836,47.88643322106096,1.4253580628485802,5.039280556730068,0.5291996553709316,PostCosecha,0.5,45.0,POSPONER_DEUDA,null,3.694867179471337,6,0.0,0.0,0.0,0.0,0.0,0.9
,281,10.23,27.7,1.83,9.18,2.64,0.2578,0.0,0.0,2.7823168955920354,1.382320120597916,0.0,0.7330842550959694,48.870732417631864,1.382320120597916,3.0876775074164575,0.5016452014900579,PostCosecha,0.5,45.0,REGAR_COMPLETO,"{""num_pulsos"": 2, ""mm_por_pulso"": 2.16, ""horas_por_pulso"": 2.4, ""descanso_entre_pulsos_h"": 0.5, ""horas_totales_aprox"": 5.3}",0.0,0,4.32,4.8,0.0,0.0,0.0,0.9
,282,12.04,19.52,2.48,13.39,0.0,0.2521,1.59,0.0,2.376182587763273,1.1719139247003572,0.0,0.9037467854356909,50.4952696489469,1.1719139247003572,0.5622359640485273,0.534459864473118,PostCosecha,0.194,25.0,POSPONER_DEUDA,null,0.0,1,0.0,0.0,4.32,4.8,0.48,0.9
,283,9.62,21.73,3.13,9.71,1.62,0.2465,0.0,0.0,2.2604742938284854,1.1069362477352318,0.0,0.9214127021307527,50.95810282468606,1.1069362477352318,0.5322570286815876,0.6642776477944758,PostCosecha,0.194,25.0,POSPONER_DEUDA,null,0.0,1,0.0,0.0,0.0,0.0,0.0,0.9
,284,5.34,18.65,1.85,14.61,0.2,0.241,0.0,0.0,2.230320295593595,1.103696769669462,0.0,0.9051457704289043,51.07871881762562,1.103696769669462,0.8621152403275965,0.6708312552099164,PostCosecha,0.194,25.0,POSPONER_DEUDA,null,0.0,1,0.0,0.0,0.0,0.0,0.0,0.9
,285,2.79,21.13,0.57,14.92,0.0,0.2356,0.0,0.0,1.8317800031368048,0.8760701164293182,0.0,0.91231399597256,52.67287998745278,0.8760701164293182,1.2918030225912605,0.6541985066274555,PostCosecha,0.194,25.0,POSPONER_DEUDA,null,0.0,1,0.0,0.0,0.0,0.0,0.0,0.9
